image_name,face_top,face_left,face_width,face_height,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise,is_tongue_out,is_duck_face
10175123_547228225394517_502976751_a,48,38,134,134,0.0,0.004,0.0,0.0,0.01,0.983,0.003,0.0,-1,-1
10175123_656382921082835_1283345975_a,90,75,113,113,0.0,0.001,0.0,0.0,0.911,0.087,0.0,0.0,-1,-1
10175123_745544122146799_1386164764_a,111,40,182,182,0.0,0.063,0.0,0.0,0.893,0.043,0.0,0.0,-1,-1
10175124_505064119597900_2006222464_a,44,118,116,116,0.0,0.001,0.0,0.0,0.407,0.592,0.0,0.0,-1,-1
10175125_1437147433190397_200778623_a,61,110,107,107,0.0,0.006,0.0,0.0,0.002,0.987,0.006,0.0,-1,-1
10175125_1483245495223469_1724402362_a,44,97,106,106,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1
10175125_225702250969988_80641345_a,73,87,153,153,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1
10175125_239713589546776_1365999910_a,101,118,163,163,0.003,0.005,0.005,0.004,0.008,0.334,0.639,0.002,1,-1
10175125_383122218492931_1221817137_a,99,46,174,174,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1
10175125_678688622196763_2072688664_a,76,67,201,201,0.0,0.0,0.0,0.0,0.473,0.522,0.001,0.004,-1,-1
10175126_1401088730164496_989925362_a,137,72,122,122,0.0,0.0,0.0,0.0,0.0,0.912,0.088,0.0,-1,-1
10175126_246558562193927_1856716304_a,31,91,108,108,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1
10175127_1480952082116615_200472349_a,74,56,158,158,0.0,0.001,0.0,0.0,0.995,0.004,0.0,0.0,-1,-1
10175127_213488165528327_1326666049_a,101,67,83,83,0.234,0.007,0.001,0.0,0.0,0.72,0.037,0.0,-1,-1
10175127_237406469796681_720557942_a,46,110,81,81,0.0,0.007,0.0,0.0,0.937,0.056,0.0,0.0,-1,-1
