image_name,face_top,face_left,face_width,face_height,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise,is_tongue_out,is_duck_face
10013298_617628418313482_2078670179_a,86,78,160,160,0.0,0.002,0.0,0.0,0.004,0.987,0.003,0.003,-1,-1
10013298_653615454710146_691564840_a,42,148,96,96,0.0,0.001,0.0,0.0,0.0,0.995,0.003,0.0,-1,-1
10013301_275228492653903_1206847200_a,73,65,80,80,0.0,0.005,0.0,0.0,0.876,0.118,0.0,0.0,-1,-1
10013301_445834105562377_1674461415_a,70,108,125,125,0.0,0.001,0.0,0.0,0.479,0.517,0.001,0.002,-1,-1
10013301_650181385037048_2144754895_a,29,119,108,108,0.0,0.0,0.0,0.0,0.988,0.01,0.001,0.0,-1,-1
10013301_717711268250674_1722312966_a,77,88,144,144,0.0,0.002,0.0,0.0,0.001,0.991,0.005,0.001,-1,-1
10013301_740733815966707_78370990_a,68,112,156,156,0.0,0.109,0.0,0.0,0.012,0.876,0.002,0.001,-1,-1
10013301_873887812628353_740752133_a,94,55,139,139,0.017,0.008,0.003,0.025,0.013,0.858,0.018,0.058,-1,-1
10013302_1485749318311563_1169300792_a,75,76,109,109,0.062,0.16,0.005,0.001,0.055,0.706,0.008,0.002,-1,-1
10013302_1524253597801501_959894453_a,100,57,103,103,0.0,0.0,0.0,0.0,0.038,0.962,0.0,0.0,-1,-1
10013302_230443567156700_204581092_a,90,91,141,141,0.065,0.003,0.001,0.0,0.0,0.886,0.045,0.0,-1,-1
10013303_1413295785598832_316089342_a,158,158,147,147,0.0,0.003,0.002,0.03,0.524,0.14,0.125,0.175,-1,-1
10013303_1413649015563354_1496688778_a,48,93,136,136,0.0,0.0,0.0,0.0,0.0,0.987,0.013,0.0,-1,-1
10013303_426892724114977_896695874_a,156,64,130,130,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1
10013303_440677939411454_111494611_a,102,114,119,119,0.0,0.001,0.0,0.0,0.169,0.827,0.002,0.001,-1,-1
10013303_627606237336434_1962548051_a,62,99,132,132,0.0,0.007,0.0,0.0,0.027,0.962,0.003,0.0,-1,-1
10013303_671758832870282_99497690_a,63,70,148,148,0.0,0.001,0.0,0.0,0.594,0.405,0.0,0.0,-1,-1
10013305_295693580586139_209004239_a,87,60,188,188,0.0,0.979,0.0,0.0,0.017,0.004,0.0,0.0,-1,-1
10013305_564732713624984_1916440425_a,88,145,108,108,0.0,0.001,0.0,0.0,0.002,0.97,0.025,0.001,-1,-1
10013305_614301908662193_2111152660_a,34,94,158,158,0.0,0.002,0.0,0.0,0.0,0.982,0.016,0.0,-1,-1
10013305_852927918054462_1862230158_a,45,86,119,119,0.001,0.003,0.0,0.0,0.0,0.986,0.011,0.0,-1,-1
10013308_223363141191357_2102512327_a,79,104,139,139,0.0,0.0,0.0,0.0,0.032,0.965,0.002,0.001,-1,-1
