image_name,face_top,face_left,face_width,face_height,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise,is_tongue_out,is_duck_face
10012504_1407781222826664_1235436224_a,0,56,145,136,0.0,0.151,0.0,0.0,0.004,0.844,0.0,0.0,-1,-1
10012504_227354667459545_1116381474_a,41,126,126,126,0.0,0.184,0.0,0.0,0.266,0.543,0.007,0.0,-1,-1
10012504_234996606691105_424891840_a,73,113,119,119,0.048,0.012,0.001,0.0,0.0,0.92,0.019,0.0,-1,-1
10012504_272568796247652_1385823301_a,0,96,133,133,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1
10012504_314183355396921_1657760965_a,0,19,229,198,0.164,0.284,0.262,0.0,0.026,0.253,0.008,0.002,-1,-1
10012504_435232576612794_1162573572_a,0,67,148,146,0.0,0.0,0.0,0.0,0.0,0.999,0.001,0.0,-1,-1
10012504_437281436405949_55332307_a,61,112,99,99,0.0,0.003,0.0,0.0,0.968,0.029,0.0,0.0,-1,-1
10012504_466536246780640_1856632167_a,59,145,94,94,0.0,0.0,0.0,0.0,0.016,0.975,0.008,0.0,-1,-1
10012504_558306227619546_775460456_a,75,84,156,156,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.79,-1,1
10012504_612515278836402_357183296_a,75,66,89,89,0.0,0.0,0.0,0.0,0.0,0.993,0.006,0.0,-1,-1
10012504_627197604026517_1813492931_a,48,129,64,64,0.0,0.007,0.0,0.0,0.843,0.144,0.005,0.0,-1,-1
10012504_633512323385860_2073707166_a,53,159,118,118,0.0,0.0,0.0,0.0,0.998,0.002,0.0,0.0,-1,-1
10012504_767871076570379_1465807988_a,50,105,79,79,0.001,0.001,0.0,0.0,0.0,0.992,0.003,0.004,-1,-1
10012509_226104834245303_1128406125_a,114,59,111,111,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1
10012509_297276043755998_2028432921_a,72,102,76,76,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1
10012509_455723667891975_755828319_a,59,99,117,117,0.0,0.001,0.0,0.0,0.858,0.14,0.0,0.001,-1,1
10012510_1442900249287602_2009903265_a,50,69,78,78,0.0,0.014,0.0,0.0,0.0,0.97,0.015,0.0,-1,-1
10012510_1477851672426754_600462998_a,64,94,176,176,0.0,0.002,0.0,0.0,0.667,0.331,0.0,0.0,-1,-1
10012510_223757187822235_439687210_a,96,82,143,143,0.0,0.019,0.0,0.0,0.017,0.963,0.001,0.0,-1,-1
10012510_240915256112690_1703515799_a,4,84,221,255,0.0,0.218,0.0,0.0,0.689,0.093,0.0,0.0,-1,-1
10012510_283727961796273_108911244_a,66,45,196,196,0.0,0.002,0.0,0.0,0.003,0.914,0.081,0.0,-1,-1
10012510_397868763661686_1535195745_a,116,106,115,115,0.0,0.001,0.0,0.0,0.019,0.979,0.001,0.0,-1,-1
10012510_503275833133541_2003901166_a,33,87,151,151,0.0,0.025,0.001,0.001,0.63,0.332,0.008,0.004,-1,1
10012510_513702902072765_1642887480_a,84,73,143,143,0.0,0.0,0.0,0.0,0.017,0.925,0.057,0.0,-1,-1
10012510_549907135127984_1478160825_a,0,0,305,305,0.0,0.0,0.0,0.0,0.0,0.808,0.192,0.0,-1,-1
