image_name,face_top,face_left,face_width,face_height,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise,is_tongue_out,is_duck_face
10011338_1421475978105861_1189116124_a,46,112,93,93,0.0,0.01,0.0,0.0,0.448,0.541,0.0,0.0,-1,-1
10011338_226646190867454_672571957_a,17,83,186,186,0.0,0.149,0.0,0.0,0.234,0.617,0.0,0.0,-1,1
10011338_529727377139977_1108531094_a,141,93,94,94,0.0,0.0,0.0,0.0,0.316,0.671,0.0,0.012,-1,-1
10011338_616795638408693_2066356277_a,79,69,121,121,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1
10011338_687172348013032_1308259270_a,0,44,173,173,0.0,0.006,0.0,0.0,0.125,0.868,0.001,0.0,-1,-1
10011338_723155344402486_1024372264_a,27,77,107,107,0.002,0.169,0.005,0.023,0.476,0.239,0.007,0.079,-1,-1
10011338_765277443491350_765108258_a,56,82,151,151,0.0,0.001,0.0,0.0,0.318,0.68,0.0,0.001,-1,-1
10011341_136326289871239_625432417_a,0,0,190,217,0.0,0.018,0.0,0.0,0.528,0.454,0.001,0.0,-1,-1
10011341_1512007339026536_1363246474_a,42,82,144,144,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1
10011341_222600991273755_148500938_a,111,77,149,149,0.0,0.219,0.0,0.0,0.774,0.007,0.0,0.0,-1,-1
10011341_263487937164671_339014001_a,24,153,128,128,0.0,0.0,0.0,0.0,0.999,0.0,0.0,0.0,-1,-1
10011341_378911008913463_1906441559_a,42,67,146,146,0.0,0.003,0.0,0.0,0.0,0.996,0.001,0.0,-1,-1
10011341_558005420982337_1806234606_a,61,33,174,174,0.001,0.001,0.003,0.0,0.994,0.001,0.0,0.0,-1,-1
10011341_684323858297303_448641883_a,1,49,156,156,0.0,0.001,0.0,0.0,0.863,0.135,0.0,0.0,-1,-1
10011341_730630816988715_1531931018_a,60,126,106,106,0.0,0.001,0.0,0.0,0.83,0.169,0.0,0.0,-1,-1
10011341_848072695206078_1618608551_a,56,107,78,78,0.006,0.001,0.001,0.0,0.001,0.988,0.002,0.0,-1,-1
10011342_1491345401089414_551077161_a,44,82,187,187,0.0,0.0,0.0,0.0,0.997,0.0,0.0,0.003,-1,-1
10011342_228886393972757_294281721_a,0,85,157,137,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1
10011343_1409129349353876_477949167_a,50,112,142,142,0.0,0.002,0.0,0.0,0.01,0.988,0.0,0.0,-1,-1
10011343_1423585227897087_1939750263_a,15,100,102,102,0.0,0.022,0.0,0.0,0.66,0.317,0.0,0.0,-1,-1
10011343_1479336568947447_1523807855_a,27,140,46,46,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1
10011343_500412760068537_226074085_a,5,88,150,150,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1
10011344_1459088084326828_1582013845_a,54,145,68,68,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,-1
10011344_229395147257948_1155394103_a,99,128,158,158,0.0,0.0,0.0,0.0,0.986,0.013,0.0,0.0,-1,-1
10011344_273709116138973_1198069735_a,85,74,203,203,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1
10011344_486610991439906_1157103627_a,57,77,134,134,0.0,0.003,0.0,0.0,0.0,0.978,0.019,0.0,-1,-1
10011344_501689559953790_394050168_a,83,60,156,156,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1
10011344_557282114392136_2040985869_a,70,138,100,100,0.0,0.017,0.0,0.0,0.429,0.553,0.001,0.0,-1,-1
10011344_603028523121468_581166068_a,51,61,128,128,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1
10011344_614612788629033_190849180_a,100,94,179,179,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1,-1
10011344_747800598587694_916895677_a,0,81,135,135,0.0,0.019,0.0,0.0,0.001,0.978,0.001,0.0,-1,-1
10011344_858588754167695_1292407398_a,116,36,89,89,0.0,0.0,0.0,0.0,0.889,0.105,0.006,0.0,-1,-1
10011347_677539315647187_114250864_a,17,143,105,105,0.0,0.027,0.0,0.0,0.961,0.013,0.0,0.0,-1,-1
10011349_1404316486507098_366005664_a,34,136,103,103,0.0,0.004,0.0,0.0,0.008,0.978,0.009,0.001,-1,-1
10011349_1574072486151623_222276060_a,66,91,112,112,0.0,0.0,0.0,0.0,0.0,0.998,0.002,0.0,-1,-1
10011351_1416422708617571_1209327006_a,145,77,109,109,0.153,0.0,0.001,0.011,0.832,0.001,0.0,0.002,-1,-1
10011351_1425884144333635_5718521_a,43,43,133,133,0.0,0.0,0.0,0.0,0.951,0.048,0.0,0.0,-1,-1
10011351_282434411917307_1250033216_a,15,28,83,83,0.0,0.001,0.001,0.0,0.887,0.107,0.001,0.003,-1,-1
10011351_305007236317311_34860199_a,105,47,171,171,0.0,0.0,0.0,0.0,0.989,0.011,0.0,0.0,1,-1
10011351_431962013614691_733516247_a,108,2,190,190,0.0,0.011,0.0,0.0,0.005,0.977,0.006,0.0,-1,1
10011351_520881558023332_1474134884_a,107,96,118,118,0.003,0.08,0.003,0.004,0.009,0.632,0.011,0.258,-1,-1
10011351_660749357312889_1919061497_a,55,80,142,142,0.0,0.001,0.0,0.0,0.998,0.002,0.0,0.0,-1,-1
10011351_696371607072095_71580992_a,120,62,149,149,0.0,0.0,0.0,0.003,0.001,0.685,0.002,0.309,-1,1
10011352_1468991869998064_959399649_a,55,31,172,172,0.001,0.025,0.0,0.002,0.001,0.853,0.003,0.115,-1,1
10011352_286302318201462_1761188080_a,29,17,229,229,0.0,0.699,0.0,0.0,0.009,0.288,0.004,0.0,-1,-1
10011352_628118260602386_1429173018_a,64,93,111,111,0.0,0.127,0.0,0.0,0.857,0.016,0.0,0.0,-1,-1
10011352_662077400550236_1363337817_a,112,123,165,165,0.0,0.019,0.0,0.0,0.913,0.067,0.0,0.0,-1,-1
10011352_708677159182694_1581287276_a,85,61,143,143,0.0,0.178,0.001,0.0,0.117,0.698,0.005,0.0,-1,-1
10011353_631227813619108_822419042_a,93,40,131,131,0.0,0.0,0.0,0.0,0.969,0.03,0.0,0.0,-1,-1
10011353_773424282682867_1928419868_a,14,82,155,155,0.0,0.003,0.0,0.0,0.0,0.949,0.048,0.0,-1,-1
10011353_822391691121752_1031811707_a,44,114,125,125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1
10011354_1439451119630802_1051764584_a,35,101,89,89,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1
10011354_1470114126551812_1192379838_a,34,51,176,176,0.001,0.705,0.001,0.0,0.002,0.273,0.0,0.018,-1,1
10011357_1412422559025963_815315837_a,60,65,177,177,0.26,0.258,0.482,0.0,0.0,0.0,0.0,0.0,-1,-1
10011357_1460733770827086_40057833_a,3,72,112,112,0.0,0.0,0.0,0.0,0.998,0.002,0.0,0.0,-1,-1
10011357_231122133763298_1146689595_a,100,99,111,111,0.0,0.003,0.0,0.0,0.481,0.516,0.0,0.0,-1,-1
10011357_262800890567582_1447354994_a,64,113,93,93,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1
10011357_722074924482653_2066159918_a,93,96,103,103,0.014,0.051,0.0,0.0,0.0,0.927,0.008,0.0,-1,-1
10011357_734939966551368_1443739363_a,28,37,216,216,0.0,0.001,0.0,0.0,0.398,0.598,0.002,0.001,-1,-1
10011357_758217350870264_372751151_a,19,73,182,182,0.0,0.0,0.0,0.0,0.999,0.001,0.0,0.0,-1,-1
10011358_1386923444921705_955646410_a,19,53,166,166,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1
10011358_240459409489652_1245541510_a,0,133,142,124,0.0,0.008,0.0,0.0,0.879,0.112,0.001,0.0,-1,-1
10011358_267624883411883_769472032_a,69,29,160,160,0.0,0.0,0.0,0.0,0.634,0.366,0.0,0.0,-1,-1
10011358_379912025481097_1169204514_a,137,66,146,146,0.098,0.106,0.001,0.0,0.0,0.278,0.517,0.0,-1,-1
10011358_597006150390889_1526073195_a,73,96,159,159,0.0,0.005,0.0,0.0,0.522,0.473,0.0,0.0,-1,-1
10011358_626845787384009_1479778687_a,45,97,109,109,0.0,0.219,0.0,0.0,0.027,0.754,0.0,0.0,-1,-1
10011358_799116123449566_339384008_a,116,106,130,130,0.002,0.008,0.013,0.0,0.046,0.925,0.006,0.0,-1,-1
10011359_1379093785706081_701778737_a,0,95,116,109,0.0,0.037,0.0,0.0,0.955,0.0,0.0,0.008,-1,-1
10011359_1396710413939490_277711014_a,67,68,179,179,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1
10011359_1433171340264358_671465159_a,100,51,159,159,0.0,0.001,0.0,0.0,0.016,0.983,0.0,0.0,-1,-1
10011359_284429998388639_1938268428_a,23,51,205,205,0.0,0.006,0.0,0.0,0.001,0.987,0.0,0.006,-1,-1
10011359_479761462152249_443764076_a,42,47,124,124,0.0,0.002,0.0,0.0,0.0,0.966,0.032,0.0,-1,-1
10011359_674945435897314_1844118840_a,48,100,130,130,0.0,0.001,0.0,0.0,0.042,0.956,0.0,0.0,-1,-1
10011360_1578576022367698_1564911915_a,24,26,208,208,0.0,0.027,0.0,0.0,0.008,0.915,0.001,0.048,1,-1
10011360_273454536164077_489338716_a,44,126,113,113,0.0,0.002,0.0,0.0,0.468,0.529,0.001,0.0,-1,-1
10011360_501089360003439_516426962_a,57,106,105,105,0.001,0.0,0.0,0.005,0.0,0.428,0.003,0.563,-1,-1
10011360_547985738647719_38705813_a,37,97,90,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1
10011360_715564901827084_879153746_a,145,67,140,140,0.063,0.042,0.003,0.001,0.013,0.868,0.006,0.003,-1,-1
10011360_751515348204362_2084358514_a,0,103,145,129,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1
10011360_775093719188953_595949305_a,2,84,150,150,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1
10011363_271988019645512_1043147373_a,112,109,123,123,0.0,0.0,0.0,0.0,0.001,0.999,0.0,0.0,-1,-1
10011363_529331050521493_411391459_a,116,38,163,163,0.001,0.2,0.001,0.004,0.091,0.677,0.004,0.022,-1,-1
10011363_545430388888044_345145279_a,37,94,142,142,0.0,0.004,0.0,0.0,0.71,0.286,0.0,0.001,-1,-1
10011364_280706565430227_312791026_a,54,20,179,179,0.0,0.001,0.0,0.0,0.008,0.989,0.003,0.0,-1,-1
10011364_292332364224679_591936944_a,0,0,161,145,0.001,0.001,0.0,0.0,0.001,0.943,0.055,0.001,-1,1
10011364_552677014848035_558879657_a,23,84,134,134,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,-1
10011367_304053036412413_1996695479_a,97,121,146,146,0.0,0.0,0.0,0.0,0.0,0.917,0.081,0.001,-1,-1
10011367_306428946173583_1603185722_a,82,130,128,128,0.0,0.0,0.0,0.0,0.0,0.999,0.0,0.0,-1,-1
10011367_309916672492850_478661549_a,206,121,70,70,0.0,0.0,0.0,0.0,0.999,0.001,0.0,0.0,-1,-1
10011367_489173857875342_1520956245_a,101,53,171,171,0.0,0.0,0.0,0.0,0.0,0.999,0.001,0.0,-1,-1
10011368_1398299313779987_465891899_a,74,121,86,86,0.0,0.001,0.0,0.0,0.766,0.233,0.0,0.0,-1,-1
10011368_1439032369672417_1439572953_a,58,138,128,128,0.0,0.001,0.0,0.0,0.668,0.331,0.0,0.0,-1,-1
10011368_239128202958134_1894589390_a,11,49,141,141,0.0,0.074,0.001,0.0,0.15,0.762,0.001,0.01,-1,-1
